player_id,player_name,score,elemental,modal,planets,moon,aspects
31114,"Sean Guenther",95.70
38273,"Chase Lee",84.08
29924,"Spencer Steer",95.68
77636,"Kodai Senga",63.79
28934,"Kyle Nicolas",66.65
15776,"Jose Soriano",89.78
28627,"Ryan Fitzgerald",78.20
30798,"Sal Frelick",72.49
12202,"Kevin Newman",84.08
20040,"Logan O'Hoppe",66.62
15590,"Jarred Kelenic",81.05
12321,"Myles Straw",89.78
38785,"Ryan Walker",92.78
28784,"Zack Kelly",69.47
12239,"Gleyber Torres",95.68
28860,"Yoendrys Gomez",89.78
11064,"Andrew Benintendi",81.05
11155,"Ketel Marte",89.78
77684,"Michael McGreevy",81.05
114716,"Nolan Schanuel",66.62
30959,"Gavin Williams",81.06
38143,"Michael Toglia",84.08
10670,"Byron Buxton",95.68
15540,"Jose Suarez",63.80
30874,"Justyn-Henry Malloy",66.62
11367,"Jesse Chavez",84.08
30744,"Gunnar Hoglund",95.68
12412,"Andy Ibanez",72.49
29734,"Mason McCoy",69.59
12419,"Rowdy Tellez",69.47
132820,"Matt Shaw",92.62
20042,"Bobby Witt Jr.",78.20
77900,"Hunter Bigge",78.20
14251,"Ryan Mountcastle",66.62
79578,"Zach Dezenzo",75.40
31003,"Chase Petty",72.49
11265,"Adam Ottavino",93.02
38643,"Marc Church",69.48
14241,"Eric Lauer",78.20
15573,"Logan Webb",92.62
10897,"Hunter Strickland",86.89
38291,"Gavin Hollowell",92.62
16045,"Tayler Scott",75.30
10332,"Jorge Soler",66.65
30918,"Jackson Jobe",81.19
30768,"Gordon Graceffo",69.47
28570,"Cal Stevenson",87.00
14254,"Fernando Tatis Jr.",63.80
38099,"Cole Sands",81.05
28688,"Jake Mangum",69.47
117974,"Carson Spiers",92.62
38237,"Trey Sweeney",72.47
13550,"Sandy Alcantara",87.00
12546,"A.J. Puk",72.47
12227,"Ryan Yarbrough",95.70
15932,"Lyon Richardson",63.80
29468,"J.C. Escarra",72.47
28811,"Josh Winckowski",78.15
134097,"Spencer Schwellenbach",75.30
10661,"Ryan Pressly",95.68
11031,"Lucas Giolito",81.05
28930,"Kyle Harrison",84.08
17788,"Tyler Gilbert",96.00
12446,"Walker Buehler",81.19
30862,"Marcelo Mayer",95.68
14471,"Nick Martini",78.15
11181,"Sonny Gray",92.62
50978,"Jeremiah Estrada",89.73
39760,"Jared Koenig",63.79
10692,"Travis d'Arnaud",66.62
132817,"Wyatt Langford",92.62
29736,"Adley Rutschman",66.62
15878,"Jake Irvin",66.62
12498,"Emilio Pagán",75.40
14240,"Adrian Morejon",66.65
15770,"Connor Seabold",63.79
30742,"Chayce McDermott",84.08
51531,"Ronny Henriquez",78.20
29827,"Nasim Nunez",84.08
12624,"Jose Ruiz",89.78
38375,"Jose Butto",69.47
29917,"Caleb Freeman",66.65
77884,"Mickey Gasper",89.78
38451,"Huascar Brazoban",89.78
14602,"Enyel De Los Santos",95.70
10448,"Michael Fulmer",69.47
20027,"Andrew Vaughn",72.49
12424,"Luis Castillo",95.68
163320,"Luke Keaschall",84.08
43412,"Brennan Bernardino",63.80
14173,"David Peterson",87.00
12458,"Luis Torrens",75.40
15918,"Jonathan Ornelas",75.38
15823,"Kris Bubic",84.08
38215,"Jonah Bride",95.70
79554,"Tim Elko",95.70
77820,"Jose A. Ferrer",69.47
28856,"Riley Adams",78.15
12565,"Matt Chapman",72.47
10939,"Randal Grichuk",84.08
14167,"Caleb Thielbar",63.72
17690,"Chas McCormick",72.49
38600,"Abner Uribe",78.20
29150,"Hayden Wesneski",95.68
10793,"Tyler Glasnow",84.08
17889,"Bryan Baker",95.68
38230,"Mike Burrows",92.62
14058,"Jose Trevino",92.78
10256,"T.J. McFarland",78.20
29013,"Tyler Soderstrom",92.78
14250,"Brandon Marsh",95.68
10185,"Patrick Corbin",81.05
14340,"Griffin Canning",75.40
15671,"Michael Siani",81.05
15658,"Tirso Ornelas",69.47
10573,"Clayton Kershaw",69.47
10431,"Carlos Rodón",95.68
29441,"Jose Caballero",84.10
15806,"Jorge Alcala",81.19
38203,"Daniel Robert",84.10
38204,"Blaine Crim",78.20
15705,"Daz Cameron",63.80
10586,"Corey Seager",72.47
28859,"Oswald Peraza",78.20
29833,"Shea Langeliers",92.62
14745,"Brandon Lowe",81.05
15664,"Leonardo Rivas",89.78
15681,"Connor Wong",75.40
131786,"Yoshinobu Yamamoto",84.08
44045,"Hunter Gaddis",72.49
38579,"Kevin Kelly",92.78
13994,"Edmundo Sosa",69.47
10405,"Antonio Senzatela",63.79
14321,"Garrett Hampson",89.78
18532,"Matt Krook",89.78
12527,"John Brebbia",75.30
15753,"Jhonathan Diaz",87.00
14265,"Lucas Erceg",72.50
78240,"Jack Dreyer",66.65
14135,"Shohei Ohtani",81.05
78315,"Mason Fluharty",84.08
77625,"Jared Shuster",84.08
15675,"Tyler Stephenson",84.08
10726,"Gary Sánchez",95.68
38192,"Mitch Spence",75.40
10540,"Andrew Heaney",78.20
10738,"Chris Bassitt",66.65
28993,"Luke Little",84.10
12377,"Josh Lowe",66.62
10498,"Yuli Gurriel",78.20
10524,"Salvador Perez",75.40
38642,"Pedro Pages",87.00
38305,"Randy Wynne",69.47
38186,"Ryne Nelson",63.72
14291,"Nick Solak",63.80
79529,"Ty Adcock",66.62
17787,"Connor Brogdon",63.79
77622,"Kumar Rocker",93.02
14295,"Jake Burger",72.49
11062,"Yoán Moncada",75.38
77800,"Zach Brzykcy",81.05
38296,"Justin Hagenman",89.78
15537,"Lane Thomas",84.08
50981,"Louie Varland",95.68
10424,"Tommy Kahnle",84.08
15796,"Cole Winn",92.78
17898,"Tayler Saucedo",78.20
10323,"Rob Zastryzny",69.48
77841,"Chad Patrick",84.08
15708,"Trent Grisham",89.73
29483,"JP Sears",66.62
131777,"Yuki Matsui",89.73
29068,"Kameron Misner",63.80
11251,"Eugenio Suárez",81.05
14297,"Taylor Ward",95.68
10287,"Drew Pomeranz",93.02
20052,"Will Wilson",81.05
29232,"Riley Greene",86.89
11041,"Joe Ross",75.40
11103,"Francisco Lindor",92.62
20051,"Alex Vesia",72.49
15608,"Gabriel Arias",66.65
14619,"Cavan Biggio",72.49
12362,"Harrison Bader",78.20
78289,"Junior Caminero",81.05
17874,"Nathan Lukes",81.05
77881,"Roddery Muñoz",72.49
30846,"Mason Miller",84.06
132871,"Patrick Monteverde",86.89
15758,"Ryan Rolison",81.05
38612,"Jonny Deluca",81.05
14242,"Corbin Burnes",89.78
15713,"Santiago Espinal",92.62
10331,"Kyle Schwarber",69.47
11171,"Kirby Yates",69.48
38144,"Ezequiel Tovar",81.19
29823,"J.J. Bleday",92.62
29847,"Freddy Fermin",75.40
14178,"Brendon Little",84.08
15515,"Reed Garrett",63.80
133135,"Thomas Harrington",81.05
38808,"Jonatan Clase",75.38
12627,"Aaron Bummer",87.00
14638,"Ian Gibaut",92.62
77631,"Robert Garcia",78.20
10609,"J.T. Realmuto",69.47
78236,"Spencer Bivens",78.15
29502,"Matt Wallner",95.68
77708,"Blake Sabol",63.80
12387,"Lucas Sims",75.40
77577,"Fraser Ellard",92.62
29108,"Matt Gorski",96.00
10839,"Austin Hedges",84.08
12475,"Casey Lawrence",89.73
12389,"Josh Hader",72.49
38824,"Christian Encarnacion-Strand",92.78
29090,"Joey Ortiz",81.05
12438,"Max Fried",63.80
132895,"Porter Hodge",66.65
14296,"Josh Naylor",78.23
29916,"Hayden Senger",72.49
29451,"Romy Gonzalez",87.00
10634,"Brent Suter",84.10
14181,"Trevor Rogers",92.62
29934,"Jackson Rutledge",69.59
15844,"Jhoan Duran",63.80
10763,"Matt Olson",69.48
17577,"Isaac Mattson",81.05
132872,"Luarbert Arias",95.68
31106,"Jordan Lawlar",81.05
12413,"Yandy Díaz",84.08
29882,"Angel Zerpa",86.89
29940,"Jacob Latz",72.49
12414,"Cody Bellinger",81.05
14182,"Edward Cabrera",72.49
38352,"Nick Enright",63.80
10734,"Aaron Judge",72.47
29011,"Joe Boyle",84.08
10807,"Elias Díaz",92.62
29373,"Jose Tena",69.47
12225,"Jake Cronenworth",63.79
29021,"Spencer Torkelson",84.10
12436,"Tanner Scott",81.05
12390,"Ben Lively",69.47
132996,"Jack Kochanowicz",96.00
78094,"Anthony Veneziano",84.10
16029,"Mike Yastrzemski",84.08
14208,"Nate Pearson",84.08
10478,"Chris Devenski",92.62
13988,"Mauricio Dubón",81.05
17615,"Zach Thompson",89.89
39035,"Johnathan Rodriguez",92.62
17591,"Trevor Megill",95.68
11219,"Jeimer Candelario",92.78
10711,"Nathan Eovaldi",66.62
111443,"Alek Jacob",78.20
14604,"Matthew Festa",69.47
30423,"Logan Gillaspie",72.49
77680,"Colin Selby",89.73
38717,"Jacob Young",81.19
38399,"Tyler Tolbert",63.79
38430,"Randy Vasquez",92.62
28820,"Dedniel Nunez",78.20
29903,"Lars Nootbaar",87.00
